"OTU_ID","X1_S1_8_L001_R1_001","X10_S8_0_L001_R1_001","X11_S9_1_L001_R1_001","X12_S10_2_L001_R1_001","X13_S11_3_L001_R1_001","X14_S12_4_L001_R1_001","X15_S13_5_L001_R1_001","X18_S14_6_L001_R1_001","X19_S15_7_L001_R1_001","X2_S2_17_L001_R1_001","X20_S16_9_L001_R1_001","X21_S17_10_L001_R1_001","X22_S18_11_L001_R1_001","X23_S19_12_L001_R1_001","X24_S20_13_L001_R1_001","X25_S21_14_L001_R1_001","X26_S22_15_L001_R1_001","X29_S23_16_L001_R1_001","X3_S3_26_L001_R1_001","X30_S24_18_L001_R1_001","X31_S25_19_L001_R1_001","X32_S26_20_L001_R1_001","X33_S27_21_L001_R1_001","X34_S28_22_L001_R1_001","X35_S29_23_L001_R1_001","X36_S30_24_L001_R1_001","X37_S31_25_L001_R1_001","X4_S4_36_L001_R1_001","X40_S32_27_L001_R1_001","X41_S33_28_L001_R1_001","X42_S34_29_L001_R1_001","X43_S35_30_L001_R1_001","X44_S36_31_L001_R1_001","X45_S37_32_L001_R1_001","X46_S38_33_L001_R1_001","X47_S39_34_L001_R1_001","X48_S40_35_L001_R1_001","X51_S41_37_L001_R1_001","X52_S42_38_L001_R1_001","X53_S43_39_L001_R1_001","X54_S44_40_L001_R1_001","X55_S45_41_L001_R1_001","X56_S46_42_L001_R1_001","X57_S47_43_L001_R1_001","X58_S48_44_L001_R1_001","X59_S49_45_L001_R1_001","X62_S50_46_L001_R1_001","X63_S51_47_L001_R1_001","X64_S52_48_L001_R1_001","X65_S53_49_L001_R1_001","X66_S54_50_L001_R1_001","X7_S5_52_L001_R1_001","X78_S55_51_L001_R1_001","X8_S6_58_L001_R1_001","X80_S56_53_L001_R1_001","X81_S57_54_L001_R1_001","X84_S58_55_L001_R1_001","X85_S59_56_L001_R1_001","X86_S60_57_L001_R1_001","X9_S7_59_L001_R1_001","Kingdom","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"ASV1",1325,759,600,1539,4227,8094,845,717,2022,1904,3250,5609,2011,6014,4114,1077,961,4020,1858,12415,4339,309,2204,2545,4081,3747,5770,883,4139,4747,4535,5478,5300,5239,1108,2203,4300,17360,612,7379,2192,3201,2313,391,3602,23413,2866,2171,734,7847,868,800,2022,2048,6225,2567,1188,2765,1630,2985,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","-","-","-","-","-","-","-","Unassigned","-"
"ASV2",456,0,74,98,193,643,71,136,208,238,173,530,160,266,315,1248,168,908,317,6298,754,0,506,315,174,380,584,225,1146,596,687,1140,501,1212,353,1275,1175,2657,64,983,1108,157,240,55,895,1782,488,213,112,3065,180,202,185,138,1534,463,171,175,335,139,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","-","-","-","-","-","-","-","Unassigned","-"
"ASV3",503,425,1641,267,232,2792,28,26,41,307,91,1103,556,949,275,0,99,240,208,593,589,42,1027,363,704,1686,1282,30,434,506,1134,823,2515,141,0,37,72,1262,21,272,321,315,585,40,1524,1252,363,1128,155,52,22,240,0,1273,43,455,153,193,198,847,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","-","-","-","-","-","-","-","Unassigned","-"
"ASV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","NA","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"ASV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","NA","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"ASV6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27040,0,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","NA","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"ASV7",0,0,0,0,0,5473,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,383,0,31,37,478,0,60,76,78,13,0,0,0,90,0,0,0,0,0,0,0,68,19652,0,0,0,6,0,0,0,0,0,476,0,0,0,0,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium","NA","Ceratobasidium","13","Pathotroph-Saprotroph-Symbiotroph","Endomycorrhizal-Plant Pathogen-Undefined Saprotroph","Corticioid-Microfungus","NULL","Possible","Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"ASV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__coffeae-arabicae","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
"ASV9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25760,0,0,0,0,0,0,0,0,0,0,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pleiochaeta","s__carotae","-","-","-","-","-","-","-","Unassigned","-"
"ASV10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24956,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","NA","Didymella","13","Pathotroph-Saprotroph","Animal Pathogen-Plant Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
