Sample,ID_Field,Harvest,Site,Shrub
X1_S1_8_L001_R1_001,AR01 T1,Jun-21,1,Tarbush
X10_S8_0_L001_R1_001,AR02 C4,Jun-21,2,Creosote
X11_S9_1_L001_R1_001,AR03 T1,Jun-21,3,Tarbush
X12_S10_2_L001_R1_001,AR03 T3,Jun-21,3,Tarbush
X13_S11_3_L001_R1_001,AR03C1,Jun-21,1,Creosote
X14_S12_4_L001_R1_001,AR03 C3,Jun-21,3,Creosote
X15_S13_5_L001_R1_001,AR04 T1,Jun-21,4,Tarbush
X18_S14_6_L001_R1_001,AR04 T3,Jun-21,4,Tarbush
X19_S15_7_L001_R1_001,AR04 C1,Jun-21,4,Creosote
X2_S2_17_L001_R1_001,AR01T4,Jun-21,1,Tarbush
X20_S16_9_L001_R1_001,AR04 C3,Jun-21,4,Creosote
X21_S17_10_L001_R1_001,AR05 T1,Jun-21,5,Tarbush
X22_S18_11_L001_R1_001,AR05 T4,Jun-21,5,Tarbush
X23_S19_12_L001_R1_001,AR05 C1,Jun-21,5,Creosote
X24_S20_13_L001_R1_001,AR05 C4,Jun-21,5,Creosote
X25_S21_14_L001_R1_001,AR01C*,Sep-21,1,Creosote
X26_S22_15_L001_R1_001,AR01C,Sep-21,1,Creosote
X29_S23_16_L001_R1_001,AR01T*,Sep-21,1,Tarbush
X3_S3_26_L001_R1_001,AR01 C1,Jun-21,1,Creosote
X30_S24_18_L001_R1_001,AR01T,Sep-21,1,Tarbush
X31_S25_19_L001_R1_001,AR02C*,Sep-21,2,Creosote
X32_S26_20_L001_R1_001,AR02C,Sep-21,2,Creosote
X33_S27_21_L001_R1_001,AR02T*,Sep-21,2,Tarbush
X34_S28_22_L001_R1_001,AR02T,Sep-21,2,Tarbush
X35_S29_23_L001_R1_001,AR03C*,Sep-21,3,Creosote
X36_S30_24_L001_R1_001,AR03C,Sep-21,3,Creosote
X37_S31_25_L001_R1_001,AR03T*,Sep-21,3,Tarbush
X4_S4_36_L001_R1_001,AR01 C4,Jun-21,1,Creosote
X40_S32_27_L001_R1_001,AR03T,Sep-21,3,Tarbush
X41_S33_28_L001_R1_001,AR04C*,Sep-21,4,Creosote
X42_S34_29_L001_R1_001,AR04C,Sep-21,4,Creosote
X43_S35_30_L001_R1_001,AR04T*,Sep-21,4,Tarbush
X44_S36_31_L001_R1_001,AR04T,Sep-21,4,Tarbush
X45_S37_32_L001_R1_001,AR05C*,Sep-21,5,Creosote
X46_S38_33_L001_R1_001,AR05C,Sep-21,5,Creosote
X47_S39_34_L001_R1_001,AR05T*,Sep-21,5,Tarbush
X48_S40_35_L001_R1_001,AR05T,Sep-21,5,Tarbush
X51_S41_37_L001_R1_001,AR01 C5,Feb-22,1,Creosote
X52_S42_38_L001_R1_001,AR01 C6,Feb-22,1,Creosote
X53_S43_39_L001_R1_001,AR01 T5,Feb-22,1,Tarbush
X54_S44_40_L001_R1_001,AR01 T6,Feb-22,1,Tarbush
X55_S45_41_L001_R1_001,AR02 C5,Feb-22,2,Creosote
X56_S46_42_L001_R1_001,AR02 C6,Feb-22,2,Creosote
X57_S47_43_L001_R1_001,AR02 T5,Feb-22,2,Tarbush
X58_S48_44_L001_R1_001,AR02 T6,Feb-22,2,Tarbush
X59_S49_45_L001_R1_001,AR03 C5,Feb-22,3,Creosote
X62_S50_46_L001_R1_001,AR03 C6,Feb-22,3,Creosote
X63_S51_47_L001_R1_001,AR03 T5,Feb-22,3,Tarbush
X64_S52_48_L001_R1_001,AR03 T6,Feb-22,3,Tarbush
X65_S53_49_L001_R1_001,AR04 C5,Feb-22,4,Creosote
X66_S54_50_L001_R1_001,AR04 C6,Feb-22,4,Creosote
X7_S5_52_L001_R1_001,AR02 T1,Jun-21,2,Tarbush
X78_S55_51_L001_R1_001,AR04 T5,Feb-22,4,Tarbush
X8_S6_58_L001_R1_001,AR02 T4,Jun-21,2,Tarbush
X80_S56_53_L001_R1_001,AR04 T6,Feb-22,4,Tarbush
X81_S57_54_L001_R1_001,AR05 C5,Feb-22,5,Creosote
X84_S58_55_L001_R1_001,AR05 C6,Feb-22,5,Creosote
X85_S59_56_L001_R1_001,AR05 T5,Feb-22,5,Tarbush
X86_S60_57_L001_R1_001,AR05 T6,Feb-22,5,Tarbush
X9_S7_59_L001_R1_001,AR02 C1,Jun-21,2,Creosote
